id,created_at,name,url,email,is_feature,status
10,2024-09-27 06:20:54.09849+00,YourMusic.fun - SUNO中文版,https://www.yourmusic.fun/,,0,0
11,2024-09-27 06:44:52.883668+00,Minecraft Circle Generator,https://minecraftcirclegenerate.cc/,,0,0
12,2024-09-27 06:44:58.233964+00,ToolsApp,https://toolsapp.cc/,,0,0
13,2024-09-27 06:45:02.865368+00,Image Splitter,https://imagesplitter.vip/,,0,0
14,2024-09-27 06:45:07.692462+00,Java Q&A Hub,https://javaqahub.cc/,,0,0
15,2024-09-27 06:45:13.143198+00,Image to Cartoons,https://image-to-cartoons.cc/,,0,0
16,2024-09-30 01:20:15.767432+00,Hrefgo AI,https://hrefgo.com,,0,0
17,2024-09-30 08:30:36.424065+00,XXAI,https://www.hixx.ai,,0,0
18,2024-09-30 12:26:26.05018+00,Maps Scraper AI,https://mapsscraper.ai/,,0,0
